   size_kb     seq_min    seq_mean    seq_rsd%    rand_min   rand_mean   rand_rsd%
         4    0.000399    0.000455       19.22    0.000398    0.000633      106.70
         8    0.000805    0.000879       16.75    0.000799    0.001092       46.58
        12    0.001196    0.001748       52.71    0.001216    0.001764       34.03
        16    0.001596    0.002441       38.95    0.001625    0.001880       22.51
        20    0.002029    0.002202       12.61    0.002068    0.002157        5.18
        24    0.002453    0.002918       11.75    0.002516    0.003122       20.66
        28    0.002850    0.003253       16.66    0.002977    0.003390       13.94
        32    0.003228    0.003413        5.60    0.003402    0.003569        2.30
        36    0.003607    0.003807        8.76    0.003988    0.004485       17.79
        40    0.004068    0.004273        9.37    0.004620    0.004741        1.75
        44    0.004421    0.004486        0.73    0.005066    0.005329        4.93
        48    0.004815    0.004974        7.05    0.005677    0.005848        1.95
        64    0.006509    0.006538        0.46    0.008185    0.008346        1.50
       128    0.013064    0.013186        0.85    0.020061    0.021671        5.06
       256    0.025762    0.026593        3.31    0.041241    0.052429       22.33
       512    0.052055    0.054758        5.08    0.121156    0.239841       32.33
       560    0.057553    0.059318        3.08    0.142339    0.179032       14.31
       640    0.065794    0.066744        1.76    0.197550    0.249543       31.41
       720    0.074762    0.075244        0.36    0.269324    0.278339        2.26
       800    0.082925    0.083847        1.22    0.342238    0.397500       21.05
       880    0.091851    0.092113        0.23    0.421655    0.444035        2.68
       960    0.100069    0.100258        0.15    0.498477    0.512130        1.89
      1040    0.108002    0.108545        0.67    0.582354    0.609794       10.90
      1120    0.115884    0.116627        0.51    0.654689    0.665728        1.16
      1200    0.123854    0.124423        0.38    0.727507    0.736833        1.06
      1280    0.131592    0.132482        0.56    0.800099    0.809421        0.67
      1360    0.139695    0.140748        0.44    0.869692    0.882315        0.75
      1440    0.147459    0.148750        0.55    0.945850    0.954199        0.65
      1520    0.155930    0.156839        0.41    1.006648    1.084876       17.29
      1600    0.163647    0.164798        0.33    1.081333    1.087756        0.30
      2000    0.205166    0.206219        0.57    1.424368    1.460421        4.09
      2400    0.245959    0.247093        0.33    1.752961    1.758249        0.23
      3200    0.328247    0.329147        0.15    2.398345    2.412611        0.31
      4000    0.411016    0.412134        0.16    3.064229    3.146072        4.68
