   size_kb     seq_min    seq_mean    seq_rsd%    rand_min   rand_mean   rand_rsd%
         4    0.000020    0.000021        2.38    0.000021    0.000027       28.65
         8    0.000041    0.000041        0.00    0.000042    0.000058       21.22
        12    0.000061    0.000061        0.00    0.000062    0.000083       23.89
        16    0.000081    0.000081        0.79    0.000082    0.000103       19.57
        20    0.000101    0.000101        0.89    0.000103    0.000129       13.71
        24    0.000121    0.000121        0.55    0.000130    0.000163       23.72
        28    0.000141    0.000142        0.99    0.000159    0.000258       68.76
        32    0.000161    0.000162        0.54    0.000184    0.000238       30.91
        36    0.000181    0.000183        0.60    0.000207    0.000214        7.82
        40    0.000202    0.000209        8.81    0.000234    0.000238        2.24
        44    0.000222    0.000255       24.31    0.000264    0.000310       18.30
        48    0.000242    0.000247        1.47    0.000296    0.000314       10.12
        64    0.000316    0.000319        1.49    0.000449    0.000564        9.71
       128    0.000632    0.000635        0.72    0.001090    0.001136        3.90
       256    0.001267    0.001317        6.09    0.002244    0.002398        3.90
       512    0.002539    0.002574        1.26    0.004318    0.004774        9.30
       560    0.002788    0.002858        2.44    0.004738    0.005080        8.23
       720    0.003648    0.003684        0.74    0.006136    0.006554        4.41
       880    0.004369    0.004484        3.45    0.007456    0.007692        1.93
      1040    0.005169    0.005319        2.14    0.008955    0.009198        2.07
      1200    0.006096    0.006210        2.20    0.010382    0.010761        3.34
      1280    0.006531    0.006712        2.78    0.011201    0.011432        2.29
      1360    0.006875    0.007320        4.41    0.011806    0.012183        2.86
      1440    0.007298    0.007839        5.21    0.012531    0.013017        2.58
      1520    0.007727    0.007893        1.52    0.013249    0.013458        1.04
      1600    0.008092    0.008348        3.98    0.013929    0.014346        3.08
      1800    0.008947    0.009163        2.41    0.015350    0.015793        3.29
      2000    0.009981    0.010212        1.52    0.017502    0.018524        3.98
      2200    0.010957    0.011274        1.62    0.018909    0.019753        2.83
      2400    0.011962    0.012580        7.10    0.020504    0.021150        1.73
      3200    0.015955    0.016283        1.40    0.027358    0.028458        4.08
      4000    0.020162    0.020717        2.01    0.034502    0.035933        2.97
      5600    0.028775    0.029334        2.09    0.049429    0.051353        4.62
      8000    0.041002    0.042338        2.71    0.069912    0.074044        5.44
     12000    0.060947    0.065769        5.19    0.103852    0.115424        4.88
     16000    0.082788    0.087761        4.07    0.140205    0.146105        5.04
     32000    0.214180    0.221393        4.31    0.311220    0.327872        5.08
     48000    0.327299    0.345724        3.68    0.477297    0.510248        4.61
     64000    0.447259    0.468417        4.62    0.644634    0.683129        5.51
     80000    0.559968    0.590322        5.12    0.796988    0.860949        7.60
