timestamp,N,E,array_type,algorithm,execution_time,comparisons,swaps
20260823_133038,1000,10,random,lomuto_quicksort,0.000263882,10818,6003
20260823_133038,1000,10,random,hoare_quicksort,0.000222373,19243,2361
20260823_133038,1000,10,random,library_qsort,0.000152111,8736,0
20260823_133038,1000,10,sorted,lomuto_quicksort,0.008556223,499500,500499
20260823_133038,1000,10,sorted,hoare_quicksort,0.002716184,502497,0
20260823_133038,1000,10,sorted,library_qsort,0.000076795,4932,0
20260823_133038,1000,10,reverse_sorted,lomuto_quicksort,0.006080198,499500,250499
20260823_133038,1000,10,reverse_sorted,hoare_quicksort,0.002630210,503497,500
20260823_133038,1000,10,reverse_sorted,library_qsort,0.000099325,5044,0
20260823_133038,1000,10,with_duplicates,lomuto_quicksort,0.000206566,12831,4478
20260823_133038,1000,10,with_duplicates,hoare_quicksort,0.000199914,18613,3060
20260823_133038,1000,10,with_duplicates,library_qsort,0.000147772,8687,0
20260823_133038,5000,10,random,lomuto_quicksort,0.001821351,70390,39765
20260823_133038,5000,10,random,hoare_quicksort,0.001299071,113545,14450
20260823_133038,5000,10,random,library_qsort,0.000868607,55208,0
20260823_133038,5000,10,sorted,lomuto_quicksort,0.225181675,12497500,12502499
20260823_133038,5000,10,sorted,hoare_quicksort,0.069219732,12512497,0
20260823_133038,5000,10,sorted,library_qsort,0.000462365,29804,0
20260823_133038,5000,10,reverse_sorted,lomuto_quicksort,0.150102925,12497500,6252499
20260823_133038,5000,10,reverse_sorted,hoare_quicksort,0.069965076,12517497,2500
20260823_133038,5000,10,reverse_sorted,library_qsort,0.000641823,32004,0
20260823_133038,5000,10,with_duplicates,lomuto_quicksort,0.001502109,91683,34158
20260823_133038,5000,10,with_duplicates,hoare_quicksort,0.001322842,113018,18157
20260823_133038,5000,10,with_duplicates,library_qsort,0.000999451,55175,0
20260823_133038,10000,10,random,lomuto_quicksort,0.003999758,154905,77073
20260823_133038,10000,10,random,hoare_quicksort,0.004026222,248779,31045
20260823_133038,10000,10,random,library_qsort,0.002156234,120378,0
20260823_133038,10000,10,sorted,lomuto_quicksort,0.926609564,49995000,50004999
20260823_133038,10000,10,sorted,hoare_quicksort,0.299764252,50024997,0
20260823_133038,10000,10,sorted,library_qsort,0.001013732,64608,0
20260823_133038,10000,10,reverse_sorted,lomuto_quicksort,0.636340547,49995000,25004999
20260823_133038,10000,10,reverse_sorted,hoare_quicksort,0.288127112,50034997,5000
20260823_133038,10000,10,reverse_sorted,library_qsort,0.001669621,69008,0
20260823_133038,10000,10,with_duplicates,lomuto_quicksort,0.003729701,185611,74231
