timestamp,N,E,insertion_sort_time,bubble_sort_time,quicksort_time
20260820_212858,10000,5,0.043705,0.231557,0.000460
20260820_212858,11000,5,0.052281,0.275306,0.000504
20260820_212858,12000,5,0.061552,0.325072,0.000553
20260820_212858,13000,5,0.072588,0.378805,0.000578
20260820_212858,14000,5,0.083734,0.439216,0.000666
20260820_212858,15000,5,0.096755,0.503684,0.000712
20260820_212858,16000,5,0.111711,0.574716,0.000761
20260820_212858,17000,5,0.123767,0.647172,0.000822
20260820_212858,18000,5,0.139417,0.727893,0.000828
20260820_212858,19000,5,0.156131,0.810893,0.000877
20260820_212858,20000,5,0.171099,0.897192,0.000952
