timestamp,N,E,insertion_sort_time,bubble_sort_time,quicksort_time,qsort_time
20260822_222250,10000,5,0.043537,0.226759,0.000452,0.001495
20260822_222250,11000,5,0.053109,0.276579,0.000499,0.001488
20260822_222250,12000,5,0.061516,0.325051,0.000552,0.001635
20260822_222250,13000,5,0.072344,0.377666,0.000577,0.001718
20260822_222250,14000,5,0.082776,0.438469,0.000676,0.001980
20260822_222250,15000,5,0.099300,0.502011,0.000681,0.001974
20260822_222250,16000,5,0.108867,0.571791,0.000727,0.002078
20260822_222250,17000,5,0.123280,0.645062,0.000792,0.002348
20260822_222250,18000,5,0.137170,0.733163,0.000880,0.002671
20260822_222250,19000,5,0.156700,0.824173,0.000973,0.002874
20260822_222250,20000,5,0.179935,0.930001,0.000972,0.003108
