timestamp,N,E,quicksort_time,qsort_time
20260822_230727,10000,5,0.000448,0.001412
20260822_230727,11000,5,0.000505,0.001595
20260822_230727,12000,5,0.000563,0.001669
20260822_230727,13000,5,0.000615,0.001946
20260822_230727,14000,5,0.000643,0.002272
20260822_230727,15000,5,0.000717,0.002331
20260822_230727,16000,5,0.000970,0.002494
20260822_230727,17000,5,0.000849,0.002535
20260822_230727,18000,5,0.000974,0.002915
20260822_230727,19000,5,0.000908,0.002955
20260822_230727,20000,5,0.000998,0.003251
