Workload,Cycles,Instructions,CacheRefs,CacheMiss,IPC,Miss%,Time(s)
Insertion Sort (n=10000),450429065,623187440,324172658,122422,1.38,0.0% ,0.350819
Insertion Sort (n=12000),648336020,898040443,467097277,161850,1.39,0.0% ,0.444749
Insertion Sort (n=14000),887356688,1228551827,638992623,252934,1.38,0.0% ,0.617872
Insertion Sort (n=16000),1135642144,1575248210,819290023,354233,1.39,0.0% ,0.764633
Insertion Sort (n=18000),1470628109,2040731734,1061361707,467345,1.39,0.0% ,0.988169
Insertion Sort (n=20000),1801160228,2495227561,1297734014,556010,1.39,0.0% ,1.211395
Bubble Sort (n=10000),1322661939,1742851295,1012414012,322244,1.32,0.0% ,0.890524
Bubble Sort (n=12000),1931469378,2510943839,1462510168,483410,1.30,0.0% ,1.303794
Bubble Sort (n=14000),2650752768,3429134479,2000154360,641742,1.29,0.0% ,1.939698
Bubble Sort (n=16000),3480354579,4467625367,2612126594,777467,1.28,0.0% ,2.407190
Bubble Sort (n=18000),4407631468,5672199863,3318215744,934604,1.29,0.0% ,3.328946
Bubble Sort (n=20000),5443511820,7003542343,4095920916,1087570,1.29,0.0% ,4.019342
Quick Sort (n=10000),4690975,4782861,3377343,219,1.02,0.0% ,0.003249
Quick Sort (n=12000),5696318,5728971,4034971,395,1.01,0.0% ,0.008037
Quick Sort (n=14000),6510048,7166076,4966321,594,1.10,0.0% ,0.004498
Quick Sort (n=16000),7845517,8282401,5755375,652,1.06,0.0% ,0.007375
Quick Sort (n=18000),8670169,9024531,6255339,856,1.04,0.0% ,0.006228
Quick Sort (n=20000),10249200,10467816,7248597,1024,1.02,0.0% ,0.007237
