Workload,Cycles,Instructions,CacheRefs,CacheMiss,IPC,Miss%,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,Time_RSD%
Insertion Sort (n=10000),76448886,225363843,50111186,45087,2.95,0.1%,0.090713,0.7%,0.8%,0.8%,1.4%
Insertion Sort (n=11000),93373993,274711063,61080771,78892,2.94,0.1%,0.123623,0.5%,0.4%,0.4%,2.8%
Insertion Sort (n=12000),109982382,324548447,72159027,106237,2.95,0.1%,0.083516,0.8%,0.7%,0.7%,2.3%
Insertion Sort (n=13000),128633464,380409639,84575404,139583,2.96,0.2%,0.090436,0.3%,0.4%,0.4%,1.3%
Insertion Sort (n=14000),148411263,439830940,97783384,186422,2.96,0.2%,0.101632,0.7%,0.7%,0.7%,1.4%
Insertion Sort (n=15000),171276574,507932839,112920365,234656,2.97,0.2%,0.115711,0.6%,0.5%,0.5%,1.1%
Insertion Sort (n=16000),194419370,576019863,128054162,289186,2.96,0.2%,0.131113,0.2%,0.2%,0.2%,0.6%
Insertion Sort (n=17000),220292446,652232688,144993687,340442,2.96,0.2%,0.148427,0.3%,0.3%,0.3%,0.9%
Insertion Sort (n=18000),245864032,727108543,161635998,388818,2.96,0.2%,0.168873,0.6%,0.5%,0.5%,0.8%
Insertion Sort (n=19000),276089948,816302705,181460341,442591,2.96,0.2%,0.186840,0.7%,0.4%,0.4%,0.8%
Insertion Sort (n=20000),302432525,897143939,199428105,485792,2.97,0.2%,0.203331,0.9%,1.0%,1.0%,1.4%
Bubble Sort (n=10000),400038637,350035283,149961543,203249,0.88,0.1%,0.268366,0.0%,0.0%,0.2%,0.2%
Bubble Sort (n=11000),484095025,423538783,181761420,284372,0.87,0.2%,0.325223,0.0%,0.0%,0.3%,0.1%
Bubble Sort (n=12000),576287984,504042283,216410519,360973,0.87,0.2%,0.386336,0.1%,0.0%,0.1%,0.1%
Bubble Sort (n=13000),676647204,591545783,253588907,440255,0.87,0.2%,0.467038,0.1%,0.0%,0.1%,0.2%
Bubble Sort (n=14000),784346343,686049283,293947672,509418,0.87,0.2%,0.529229,0.0%,0.0%,0.1%,0.2%
Bubble Sort (n=15000),900394696,787552783,338046264,569450,0.87,0.2%,0.606234,0.0%,0.0%,0.1%,0.2%
Bubble Sort (n=16000),1024612951,896056283,383848927,632983,0.87,0.2%,0.689543,0.0%,0.0%,0.1%,0.3%
Bubble Sort (n=17000),1156781192,1011559783,432965462,696418,0.87,0.2%,0.781143,0.0%,0.0%,0.2%,0.5%
Bubble Sort (n=18000),1296788244,1134063283,486128794,761228,0.87,0.2%,0.870443,0.0%,0.0%,0.1%,0.1%
Bubble Sort (n=19000),1445264949,1263566783,541280117,831527,0.87,0.2%,0.968083,0.0%,0.0%,0.1%,0.1%
Bubble Sort (n=20000),1603689038,1400070283,599823503,905793,0.87,0.2%,1.143261,0.1%,0.0%,0.1%,0.1%
Quick Sort (n=10000),1549134,1483021,450876,254,0.96,0.1%,0.001077,6.9%,5.4%,3.9%,56.0%
Quick Sort (n=11000),1673674,1642776,505442,269,0.98,0.1%,0.001168,4.6%,3.4%,2.3%,14.2%
Quick Sort (n=12000),1811428,1797154,570845,290,0.99,0.1%,0.001284,6.4%,3.0%,3.6%,28.1%
Quick Sort (n=13000),1978720,1925636,608594,308,0.97,0.1%,0.001383,3.3%,2.1%,3.0%,15.5%
Quick Sort (n=14000),2202228,2151665,671213,415,0.98,0.1%,0.001542,3.9%,3.3%,5.0%,29.7%
Quick Sort (n=15000),2327986,2343592,731367,437,1.01,0.1%,0.001684,3.7%,3.6%,2.7%,40.0%
Quick Sort (n=16000),2579032,2545532,806498,523,0.99,0.1%,0.001820,5.1%,3.6%,4.4%,28.4%
Quick Sort (n=17000),2691476,2664662,827513,547,0.99,0.1%,0.001972,3.2%,1.4%,3.3%,22.5%
Quick Sort (n=18000),2894142,2859753,882240,655,0.99,0.1%,0.002210,3.7%,2.9%,3.7%,11.4%
Quick Sort (n=19000),2964323,3005136,937504,609,1.01,0.1%,0.002164,2.5%,1.8%,4.8%,15.0%
Quick Sort (n=20000),3277716,3219587,987282,709,0.98,0.1%,0.002562,7.3%,4.0%,3.4%,22.4%
