Workload,Cycles,Instructions,CacheRefs,CacheMiss,IPC,Miss%,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,Time_RSD%
Insertion Sort (n=10000),75755224,224692424,49961387,42331,2.97,0.1%,0.058439,0.6%,0.4%,0.4%,2.1%,3.76%
Insertion Sort (n=11000),92382637,274693591,61075377,69429,2.97,0.1%,0.064916,0.9%,0.8%,0.8%,3.0%,1.79%
Insertion Sort (n=12000),108869189,323501298,71924798,106119,2.97,0.1%,0.074127,0.8%,0.8%,0.8%,1.4%,2.45%
Insertion Sort (n=13000),127959881,378904902,84239970,152987,2.96,0.2%,0.086430,0.1%,0.2%,0.2%,0.6%,0.52%
Insertion Sort (n=14000),149408925,442070531,98280155,200293,2.96,0.2%,0.101060,0.1%,0.1%,0.1%,0.1%,0.54%
Insertion Sort (n=15000),170628812,505248218,112322848,237175,2.96,0.2%,0.115309,0.5%,0.5%,0.5%,0.8%,0.23%
Insertion Sort (n=16000),195120772,576756344,128216999,276133,2.96,0.2%,0.132194,0.6%,0.6%,0.6%,0.9%,0.69%
Insertion Sort (n=17000),221959310,653391703,145250359,322201,2.94,0.2%,0.156099,0.1%,0.2%,0.2%,0.3%,4.72%
Insertion Sort (n=18000),246791592,729847049,162244670,369084,2.96,0.2%,0.169880,0.7%,0.4%,0.4%,0.4%,2.16%
Insertion Sort (n=19000),275320620,816272891,181453013,425307,2.96,0.2%,0.189592,0.1%,0.2%,0.2%,0.2%,2.74%
Insertion Sort (n=20000),303194938,898503540,199729959,476464,2.96,0.2%,0.206984,0.3%,0.3%,0.3%,0.7%,0.94%
Insertion Sort (n=21000),334470176,992003047,220510337,541020,2.97,0.2%,0.224632,0.2%,0.2%,0.2%,0.8%,0.43%
Insertion Sort (n=22000),367923117,1090660153,242437562,610247,2.96,0.3%,0.247383,0.2%,0.2%,0.2%,0.6%,0.15%
Insertion Sort (n=23000),402499319,1193800954,265361079,668816,2.97,0.3%,0.270967,0.5%,0.5%,0.5%,0.3%,0.08%
Insertion Sort (n=24000),437571114,1297093382,288318178,734706,2.96,0.3%,0.294239,0.3%,0.2%,0.2%,0.5%,0.48%
Insertion Sort (n=25000),472033687,1400036866,311197649,794227,2.97,0.3%,0.316692,0.1%,0.2%,0.2%,0.4%,0.16%
Insertion Sort (n=26000),512975922,1520996893,338081264,862729,2.97,0.3%,0.344374,0.1%,0.1%,0.1%,0.5%,0.01%
Insertion Sort (n=27000),552419411,1637867162,364055517,934033,2.96,0.3%,0.370649,0.7%,0.7%,0.7%,0.6%,0.66%
Insertion Sort (n=28000),596025608,1767785691,392929658,1005237,2.97,0.3%,0.399547,0.3%,0.3%,0.3%,0.4%,0.44%
Insertion Sort (n=29000),635483322,1885372346,419063400,1065327,2.97,0.3%,0.426130,0.4%,0.5%,0.5%,0.6%,0.32%
Insertion Sort (n=30000),684593351,2030342761,451282010,1150121,2.97,0.3%,0.458792,0.5%,0.4%,0.4%,0.7%,0.55%
Bubble Sort (n=10000),400004018,350035283,149707137,150803,0.88,0.1%,0.267881,0.0%,0.0%,0.0%,0.0%,0.10%
Bubble Sort (n=11000),484061334,423538783,181539896,220761,0.87,0.1%,0.324117,0.0%,0.0%,0.1%,0.2%,0.02%
Bubble Sort (n=12000),576023417,504042283,216036190,294048,0.88,0.1%,0.385614,0.0%,0.0%,0.0%,0.1%,0.03%
Bubble Sort (n=13000),676173267,591545783,253368819,370188,0.87,0.1%,0.452779,0.0%,0.0%,0.2%,0.1%,0.08%
Bubble Sort (n=14000),784207363,686049283,294052318,448194,0.87,0.2%,0.525101,0.0%,0.0%,0.1%,0.0%,0.10%
Bubble Sort (n=15000),900331863,787552783,338122185,520599,0.87,0.2%,0.602597,0.0%,0.0%,0.1%,0.0%,0.03%
Bubble Sort (n=16000),1024262651,896056283,383408466,591621,0.87,0.2%,0.685893,0.0%,0.0%,0.1%,0.1%,0.08%
Bubble Sort (n=17000),1156546905,1011559783,433398711,662073,0.87,0.2%,0.774524,0.0%,0.0%,0.1%,0.0%,0.11%
Bubble Sort (n=18000),1296602038,1134063283,486368418,729804,0.87,0.2%,0.867829,0.0%,0.0%,0.1%,0.0%,0.05%
Bubble Sort (n=19000),1444989162,1263566783,541195063,800410,0.87,0.1%,0.967546,0.0%,0.0%,0.0%,0.0%,0.10%
Bubble Sort (n=20000),1600912311,1400070283,600693410,873906,0.87,0.1%,1.071812,0.0%,0.0%,0.1%,0.0%,0.05%
Bubble Sort (n=21000),1764986223,1543573783,662237944,950047,0.87,0.1%,1.181613,0.0%,0.0%,0.1%,0.0%,0.09%
Bubble Sort (n=22000),1937511226,1694077283,726323457,1029504,0.87,0.1%,1.296819,0.0%,0.0%,0.1%,0.0%,0.05%
Bubble Sort (n=23000),2118668623,1851580783,792825272,1111760,0.87,0.1%,1.420369,0.0%,0.0%,0.1%,0.0%,0.22%
Bubble Sort (n=24000),2305780058,2016084283,863796666,1196683,0.87,0.1%,1.542461,0.0%,0.0%,0.2%,0.0%,0.02%
Bubble Sort (n=25000),2501844875,2187587783,937820344,1285348,0.87,0.1%,1.674009,0.0%,0.0%,0.1%,0.0%,0.01%
Bubble Sort (n=26000),2706451679,2366091283,1013714132,1376595,0.87,0.1%,1.811177,0.0%,0.0%,0.1%,0.0%,0.02%
Bubble Sort (n=27000),2918891677,2551594783,1092845559,1470644,0.87,0.1%,1.954403,0.0%,0.0%,0.1%,0.0%,0.11%
Bubble Sort (n=28000),3138780585,2744098283,1176136529,1568063,0.87,0.1%,2.099499,0.0%,0.0%,0.1%,0.0%,0.05%
Bubble Sort (n=29000),3367108340,2943601783,1260149705,1668021,0.87,0.1%,2.251682,0.0%,0.0%,0.1%,0.0%,0.03%
Bubble Sort (n=30000),3603676965,3150105283,1349136108,1770834,0.87,0.1%,2.410158,0.0%,0.0%,0.1%,0.0%,0.04%
Quick Sort (n=10000),820786,1509632,483265,258,1.84,0.1%,0.000580,4.9%,4.8%,5.4%,32.3%,5.72%
Quick Sort (n=11000),861403,1602525,498653,269,1.86,0.1%,0.000627,1.2%,1.2%,1.2%,29.7%,3.67%
Quick Sort (n=12000),950107,1787978,558058,350,1.88,0.1%,0.000679,1.3%,1.3%,2.0%,18.1%,0.52%
Quick Sort (n=13000),1043041,1964248,613222,468,1.88,0.1%,0.000757,1.2%,1.2%,2.1%,16.3%,0.58%
Quick Sort (n=14000),1113835,2099850,650934,385,1.89,0.1%,0.000808,0.2%,0.1%,0.9%,15.6%,3.42%
Quick Sort (n=15000),1216751,2320084,754294,418,1.91,0.1%,0.000862,2.1%,2.5%,2.9%,11.2%,2.35%
Quick Sort (n=16000),1269248,2390340,739673,520,1.88,0.1%,0.000900,0.6%,1.3%,1.0%,24.5%,0.83%
Quick Sort (n=17000),1391312,2612706,801362,467,1.88,0.1%,0.001030,3.5%,3.4%,4.8%,4.5%,5.23%
Quick Sort (n=18000),1479626,2826152,881336,455,1.91,0.1%,0.001061,0.5%,0.9%,1.4%,22.9%,1.44%
Quick Sort (n=19000),1547080,2950568,906986,574,1.91,0.1%,0.001102,1.5%,1.3%,2.9%,5.7%,2.10%
Quick Sort (n=20000),1712876,3167724,954220,637,1.85,0.1%,0.001309,2.6%,1.6%,1.4%,21.7%,4.72%
Quick Sort (n=21000),1734991,3300739,987891,735,1.90,0.1%,0.001257,1.2%,1.1%,2.2%,6.6%,6.03%
Quick Sort (n=22000),1836368,3523928,1079038,766,1.92,0.1%,0.001323,0.7%,1.6%,3.1%,8.3%,0.64%
Quick Sort (n=23000),1957163,3662237,1092284,849,1.87,0.1%,0.001414,1.2%,1.4%,1.0%,7.1%,1.43%
Quick Sort (n=24000),2039552,3828699,1172963,785,1.88,0.1%,0.001457,2.9%,1.0%,4.1%,7.6%,4.01%
Quick Sort (n=25000),2161660,4146901,1274261,838,1.92,0.1%,0.001547,2.6%,1.4%,1.8%,11.9%,4.27%
Quick Sort (n=26000),2210792,4163142,1276687,790,1.88,0.1%,0.001639,2.9%,0.4%,2.4%,9.3%,4.34%
Quick Sort (n=27000),2434039,4712303,1417380,1199,1.94,0.1%,0.001763,1.4%,1.6%,2.5%,10.6%,4.03%
Quick Sort (n=28000),2380580,4601844,1407494,1055,1.93,0.1%,0.001725,1.5%,1.6%,1.3%,3.9%,2.11%
Quick Sort (n=29000),2567432,4890430,1489306,1050,1.90,0.1%,0.001989,3.0%,1.2%,5.1%,17.3%,7.60%
Quick Sort (n=30000),2691384,5130126,1586578,1126,1.91,0.1%,0.002048,0.4%,2.4%,5.0%,6.6%,5.38%
