Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   InsSort (n=1000),797422,2278113,509328,49,1057,2.86,0.0%,4.6e-04,0.001832,2.7%,0.7%,0.7%,27.9%,0.69%
   InsSort (n=2000),3058169,8988413,2003281,70,2049,2.94,0.0%,2.3e-04,0.003757,1.7%,1.8%,1.8%,7.8%,0.62%
   InsSort (n=3000),6983771,20584658,4582995,167,3059,2.95,0.0%,1.5e-04,0.007806,0.8%,0.8%,0.8%,11.9%,0.08%
   InsSort (n=4000),12152640,36013989,8014562,294,4065,2.96,0.0%,1.1e-04,0.011358,0.9%,1.1%,1.1%,42.7%,0.22%
   InsSort (n=5000),19065090,56579873,12587726,3656,5069,2.97,0.0%,9.0e-05,0.016805,1.1%,0.9%,0.9%,11.3%,0.14%
   InsSort (n=6000),27531267,81451472,18118055,23229,6073,2.96,0.1%,7.5e-05,0.020588,0.6%,0.7%,0.7%,2.4%,0.21%
   InsSort (n=7000),37009643,109374923,24326449,47442,7082,2.96,0.2%,6.5e-05,0.025163,1.1%,1.0%,1.0%,2.1%,0.22%
   InsSort (n=8000),48420278,142854218,31769550,66662,8093,2.95,0.2%,5.7e-05,0.033208,0.7%,0.6%,0.6%,0.8%,0.17%
   InsSort (n=9000),61924235,182951597,40683460,90276,9108,2.95,0.2%,5.0e-05,0.042258,0.8%,0.6%,0.6%,1.8%,0.15%
   InsSort (n=10000),75798429,224111772,49833209,111561,10121,2.96,0.2%,4.5e-05,0.051413,0.3%,0.3%,0.3%,1.1%,0.15%
   InsSort (n=11000),91978893,271836959,60442056,137583,11122,2.96,0.2%,4.1e-05,0.062418,0.3%,0.2%,0.2%,1.1%,0.18%
   InsSort (n=12000),110021199,324171084,72075123,165651,12145,2.95,0.2%,3.7e-05,0.087842,0.1%,0.2%,0.2%,1.4%,0.18%
   InsSort (n=13000),128769486,379934948,84470306,199239,13176,2.95,0.2%,3.5e-05,0.097912,0.3%,0.3%,0.3%,0.6%,0.19%
   InsSort (n=14000),149403989,441274554,98104588,239921,14148,2.95,0.2%,3.2e-05,0.101768,0.5%,0.5%,0.5%,0.5%,0.08%
   InsSort (n=15000),172204567,509149154,113191025,281261,15145,2.96,0.2%,3.0e-05,0.116428,0.1%,0.3%,0.3%,1.0%,0.08%
   InsSort (n=16000),194922467,576137977,128080693,328157,16159,2.96,0.3%,2.8e-05,0.132822,0.3%,0.3%,0.3%,0.8%,0.05%
   InsSort (n=17000),221054572,654533965,145505231,392667,17143,2.96,0.3%,2.6e-05,0.148328,0.5%,0.6%,0.6%,0.7%,0.02%
   InsSort (n=18000),245410279,726680658,161541164,451214,18154,2.96,0.3%,2.5e-05,0.165194,0.2%,0.2%,0.2%,0.6%,0.09%
