Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   InsSort (n=100),11835,24217,5885,15,127,2.05,0.2%,5.3e-03,0.000041,4.9%,5.4%,4.9%,22.7%,7.95%, 51.96%
   InsSort (n=200),36433,91085,21005,15,230,2.50,0.1%,2.5e-03,0.000055,3.8%,4.4%,4.3%,7.6%,1.97%, 24.62%
   InsSort (n=300),76427,204446,46476,15,330,2.68,0.0%,1.6e-03,0.000074,2.8%,3.1%,3.0%,2.0%,1.59%, 10.67%
   InsSort (n=400),134157,370864,83738,15,435,2.76,0.0%,1.2e-03,0.000110,2.9%,3.1%,3.0%,16.0%,1.22%, 10.69%
   InsSort (n=500),201508,565440,127252,18,531,2.81,0.0%,9.4e-04,0.000147,2.4%,2.5%,2.5%,23.1%,0.98%, 8.93%
   InsSort (n=600),285938,812404,182432,17,638,2.84,0.0%,7.8e-04,0.000192,2.3%,2.5%,2.4%,4.2%,0.71%, 3.87%
   InsSort (n=700),390402,1118731,250790,19,738,2.87,0.0%,6.6e-04,0.000252,2.6%,2.7%,2.7%,16.8%,0.65%, 4.07%
   InsSort (n=800),503759,1452562,325244,19,836,2.88,0.0%,5.8e-04,0.000314,2.1%,2.2%,2.2%,17.2%,0.81%, 2.96%
   InsSort (n=900),629332,1820745,407352,21,939,2.89,0.0%,5.2e-04,0.000390,2.0%,2.1%,2.0%,26.2%,0.63%, 3.74%
   InsSort (n=1000),773095,2240384,500879,32,1038,2.90,0.0%,4.6e-04,0.000482,2.1%,2.2%,2.2%,26.8%,0.58%, 11.61%
   InsSort (n=1100),944318,2743520,612980,32,1141,2.91,0.0%,4.2e-04,0.000592,1.8%,1.9%,1.9%,18.3%,0.62%, 11.36%
   InsSort (n=1200),1113830,3250492,725907,31,1242,2.92,0.0%,3.8e-04,0.000667,1.9%,1.9%,1.9%,22.2%,0.54%, 4.04%
   InsSort (n=1300),1301970,3808116,850114,38,1342,2.92,0.0%,3.5e-04,0.000771,1.4%,1.4%,1.4%,28.5%,0.45%, 3.09%
   InsSort (n=1400),1513043,4433803,989426,37,1440,2.93,0.0%,3.2e-04,0.000900,1.7%,1.8%,1.8%,21.5%,0.45%, 3.03%
   InsSort (n=1500),1723144,5046953,1125978,43,1544,2.93,0.0%,3.1e-04,0.001051,1.6%,1.6%,1.6%,43.1%,0.55%, 9.20%
   InsSort (n=1600),1974490,5799068,1293384,45,1641,2.94,0.0%,2.8e-04,0.001186,1.2%,1.2%,1.2%,49.6%,0.45%, 8.11%
   InsSort (n=1700),2215075,6508781,1451382,48,1744,2.94,0.0%,2.7e-04,0.001463,1.4%,1.5%,1.5%,47.8%,0.52%, 40.39%
   InsSort (n=1800),2483964,7317906,1631468,41,1848,2.95,0.0%,2.5e-04,0.001454,1.7%,1.7%,1.7%,32.1%,0.42%, 4.03%
   InsSort (n=1900),2760326,8133527,1812986,47,1947,2.95,0.0%,2.4e-04,0.001633,1.4%,1.4%,1.4%,36.4%,0.30%, 4.08%
   InsSort (n=2000),3058668,9015056,2009168,57,2046,2.95,0.0%,2.3e-04,0.001832,1.3%,1.2%,1.2%,48.1%,0.39%, 8.32%
   InsSort (n=2100),3350198,9898740,2205827,47,2145,2.95,0.0%,2.2e-04,0.001938,1.1%,1.1%,1.1%,30.4%,0.38%, 2.26%
   InsSort (n=2200),3711432,10972397,2444696,50,2243,2.96,0.0%,2.0e-04,0.002146,1.3%,1.3%,1.3%,32.4%,0.43%, 2.78%
   InsSort (n=2300),4014667,11863386,2642967,57,2342,2.96,0.0%,2.0e-04,0.002469,1.4%,1.3%,1.3%,43.0%,0.25%, 21.46%
   InsSort (n=2400),4404949,13025257,2901460,60,2448,2.96,0.0%,1.9e-04,0.002563,1.5%,1.5%,1.5%,24.7%,0.29%, 3.90%
   InsSort (n=2500),4739376,14023863,3123644,66,2547,2.96,0.0%,1.8e-04,0.002761,1.2%,1.2%,1.2%,30.4%,0.27%, 2.46%
   InsSort (n=2600),5150500,15242940,3394830,75,2648,2.96,0.0%,1.7e-04,0.003101,1.2%,1.2%,1.2%,42.4%,0.21%, 12.83%
   InsSort (n=2700),5529898,16388777,3649737,59,2747,2.96,0.0%,1.7e-04,0.003182,1.4%,1.4%,1.4%,26.9%,0.21%, 2.57%
   InsSort (n=2800),5969884,17690508,3939300,80,2853,2.96,0.0%,1.6e-04,0.003506,1.1%,1.2%,1.2%,46.7%,0.27%, 7.46%
   InsSort (n=2900),6382712,18933108,4215713,75,2949,2.97,0.0%,1.6e-04,0.003657,1.2%,1.2%,1.2%,32.0%,0.27%, 2.01%
   InsSort (n=3000),6827583,20249180,4508457,94,3050,2.97,0.0%,1.5e-04,0.003931,1.4%,1.5%,1.5%,64.7%,0.27%, 3.57%
   BubSort (n=100),44014,35723,15224,14,114,0.81,0.1%,3.2e-03,0.000055,5.4%,0.0%,1.9%,4.2%,3.52%, 5.59%
   BubSort (n=200),173583,141073,59705,16,211,0.81,0.0%,1.5e-03,0.000132,5.5%,0.0%,1.5%,9.9%,0.77%, 9.32%
   BubSort (n=300),389409,316423,134505,15,310,0.81,0.0%,9.8e-04,0.000253,5.5%,0.0%,1.0%,9.6%,0.55%, 7.85%
   BubSort (n=400),639960,561773,241107,16,410,0.88,0.0%,7.3e-04,0.000392,0.0%,0.0%,1.0%,18.7%,0.50%, 2.62%
   BubSort (n=500),999704,877123,373973,19,506,0.88,0.0%,5.8e-04,0.000596,0.0%,0.0%,0.9%,32.0%,0.27%, 3.20%
   BubSort (n=600),1442934,1262473,538464,19,606,0.87,0.0%,4.8e-04,0.000844,1.0%,0.0%,0.8%,25.0%,0.38%, 2.38%
   BubSort (n=700),1959177,1717823,736160,22,708,0.88,0.0%,4.1e-04,0.001162,0.1%,0.0%,0.9%,28.4%,0.46%, 4.61%
   BubSort (n=800),2558540,2243173,959961,23,807,0.88,0.0%,3.6e-04,0.001489,0.1%,0.0%,0.7%,28.4%,0.25%, 2.50%
   BubSort (n=900),3238138,2838523,1211399,25,908,0.88,0.0%,3.2e-04,0.001874,0.1%,0.0%,0.7%,39.4%,0.39%, 3.18%
   BubSort (n=1000),3998625,3503873,1494260,36,1008,0.88,0.0%,2.9e-04,0.002295,0.0%,0.0%,0.7%,19.0%,0.26%, 1.38%
   BubSort (n=1100),4838041,4239223,1815694,43,1110,0.88,0.0%,2.6e-04,0.002793,0.1%,0.0%,0.6%,26.4%,0.21%, 2.23%
   BubSort (n=1200),5758714,5044573,2157964,49,1210,0.88,0.0%,2.4e-04,0.003371,0.1%,0.0%,0.6%,40.7%,0.38%, 7.15%
   BubSort (n=1300),6757905,5919923,2531496,49,1310,0.88,0.0%,2.2e-04,0.003869,0.1%,0.0%,0.5%,13.5%,0.16%, 0.92%
   BubSort (n=1400),7836387,6865273,2940154,51,1409,0.88,0.0%,2.1e-04,0.004462,0.1%,0.0%,0.6%,15.6%,0.19%, 0.71%
   BubSort (n=1500),8997635,7880623,3366018,56,1510,0.88,0.0%,1.9e-04,0.005146,0.1%,0.0%,0.5%,20.0%,0.20%, 2.33%
   BubSort (n=1600),10233974,8965973,3842780,63,1611,0.88,0.0%,1.8e-04,0.005831,0.1%,0.0%,0.4%,27.5%,0.24%, 1.58%
   BubSort (n=1700),11565069,10121323,4330112,93,1716,0.88,0.0%,1.7e-04,0.007057,0.1%,0.0%,0.5%,43.4%,0.37%, 10.28%
   BubSort (n=1800),12989229,11346673,4859538,120,1822,0.87,0.0%,1.6e-04,0.009631,0.2%,0.0%,0.6%,28.4%,0.30%, 16.80%
   BubSort (n=1900),14502122,12642023,5410439,181,1932,0.87,0.0%,1.5e-04,0.013756,0.4%,0.0%,0.5%,48.4%,0.77%, 33.70%
   BubSort (n=2000),16043051,14007373,5996058,254,2036,0.87,0.0%,1.5e-04,0.013011,0.4%,0.0%,0.4%,67.9%,1.01%, 40.55%
   BubSort (n=2100),17645856,15442723,6602010,196,2122,0.88,0.0%,1.4e-04,0.010665,0.1%,0.0%,0.4%,60.9%,0.31%, 9.63%
   BubSort (n=2200),19348916,16948073,7270224,203,2215,0.88,0.0%,1.3e-04,0.011075,0.1%,0.0%,0.4%,64.4%,0.19%, 2.64%
   BubSort (n=2300),21157630,18523423,7917958,309,2317,0.88,0.0%,1.3e-04,0.012514,0.1%,0.0%,0.4%,40.5%,0.28%, 6.02%
   BubSort (n=2400),23050094,20168773,8645752,327,2423,0.87,0.0%,1.2e-04,0.014111,0.1%,0.0%,0.5%,35.3%,0.54%, 7.90%
   BubSort (n=2500),25013756,21884123,9357351,448,2522,0.87,0.0%,1.2e-04,0.015463,0.1%,0.0%,0.4%,42.0%,0.25%, 6.64%
   BubSort (n=2600),27049868,23669473,10137839,407,2629,0.88,0.0%,1.1e-04,0.016597,0.1%,0.0%,0.4%,34.5%,0.35%, 11.58%
   BubSort (n=2700),29169385,25524823,10922044,413,2731,0.88,0.0%,1.1e-04,0.017617,0.1%,0.0%,0.5%,57.1%,0.43%, 6.09%
   BubSort (n=2800),31364548,27450173,11760725,216,2824,0.88,0.0%,1.0e-04,0.018549,0.1%,0.0%,0.4%,52.4%,0.50%, 8.19%
   BubSort (n=2900),33651936,29445523,12606462,208,2927,0.88,0.0%,9.9e-05,0.020314,0.1%,0.0%,0.4%,36.7%,0.38%, 9.15%
   BubSort (n=3000),35999308,31510873,13488530,176,3018,0.88,0.0%,9.6e-05,0.020492,0.1%,0.0%,0.5%,31.4%,0.24%, 2.78%
   QckSort (n=100),7284,7694,2708,14,139,1.06,0.5%,1.8e-02,0.000037,14.2%,6.8%,8.5%,5.9%,10.48%, 25.05%
   QckSort (n=200),17519,17307,5850,17,236,0.99,0.3%,1.4e-02,0.000041,16.6%,5.5%,7.3%,5.3%,6.03%, 9.57%
   QckSort (n=300),27935,27663,8828,17,317,0.99,0.2%,1.1e-02,0.000047,15.3%,7.0%,5.9%,3.2%,6.21%, 13.80%
   QckSort (n=400),40561,38670,12648,18,413,0.95,0.1%,1.1e-02,0.000061,7.8%,4.2%,7.1%,17.0%,4.34%, 40.91%
   QckSort (n=500),51286,49647,16286,19,502,0.97,0.1%,1.0e-02,0.000069,12.2%,5.5%,8.7%,20.3%,3.31%, 36.81%
   QckSort (n=600),61701,60307,19588,20,603,0.98,0.1%,1.0e-02,0.000081,9.6%,5.2%,6.0%,35.7%,5.18%, 54.42%
   QckSort (n=700),76120,73396,24092,20,689,0.96,0.1%,9.4e-03,0.000087,7.1%,4.9%,6.6%,35.6%,4.30%, 40.48%
   QckSort (n=800),87796,84543,27353,19,815,0.96,0.1%,9.6e-03,0.000082,11.2%,5.8%,8.2%,25.3%,8.14%, 8.10%
   QckSort (n=900),88135,94864,31257,20,891,1.08,0.1%,9.4e-03,0.000084,13.6%,3.9%,6.5%,22.8%,2.70%, 9.57%
   QckSort (n=1000),114436,111612,35755,26,963,0.98,0.1%,8.6e-03,0.000136,13.0%,6.9%,5.4%,16.5%,2.73%, 86.36%
   QckSort (n=1100),123929,121617,39181,25,1040,0.98,0.1%,8.6e-03,0.000104,8.5%,3.7%,5.8%,5.6%,2.39%, 11.56%
   QckSort (n=1200),136444,134874,42593,32,1151,0.99,0.1%,8.5e-03,0.000137,8.6%,3.0%,3.4%,39.1%,2.45%, 51.99%
   QckSort (n=1300),144056,145175,46679,32,1249,1.01,0.1%,8.6e-03,0.000148,8.7%,4.2%,5.0%,19.9%,3.50%, 66.38%
   QckSort (n=1400),167400,161286,51049,29,1317,0.96,0.1%,8.2e-03,0.000132,7.1%,3.6%,5.2%,14.0%,2.53%, 16.78%
   QckSort (n=1500),168351,173386,55297,31,1538,1.03,0.1%,8.9e-03,0.000136,9.5%,5.7%,6.0%,29.5%,5.96%, 25.48%
   QckSort (n=1600),189881,183073,58665,30,1527,0.96,0.1%,8.3e-03,0.000144,5.2%,3.6%,4.4%,9.4%,3.21%, 6.66%
   QckSort (n=1700),199566,198134,63668,30,1572,0.99,0.0%,7.9e-03,0.000151,8.4%,2.6%,4.6%,25.5%,2.42%, 16.38%
   QckSort (n=1800),207128,213364,68388,31,1782,1.03,0.0%,8.4e-03,0.000166,9.3%,3.3%,5.6%,23.3%,4.63%, 27.01%
   QckSort (n=1900),212110,226428,73183,28,1831,1.07,0.0%,8.1e-03,0.000154,8.4%,3.9%,5.9%,8.7%,2.15%, 6.31%
   QckSort (n=2000),250262,240330,76619,29,1898,0.96,0.0%,7.9e-03,0.000177,4.9%,3.5%,7.3%,16.0%,1.84%, 5.97%
   QckSort (n=2100),266496,255329,82072,31,1959,0.96,0.0%,7.7e-03,0.000225,6.2%,3.9%,5.3%,35.3%,1.75%, 75.28%
   QckSort (n=2200),260612,265395,85189,30,2044,1.02,0.0%,7.7e-03,0.000185,8.7%,3.7%,6.2%,23.4%,1.98%, 10.20%
   QckSort (n=2300),281062,285120,91742,35,2134,1.01,0.0%,7.5e-03,0.000201,9.9%,4.9%,6.3%,29.9%,2.76%, 9.88%
   QckSort (n=2400),312642,299532,96432,35,2301,0.96,0.0%,7.7e-03,0.000216,6.5%,3.9%,5.2%,14.0%,6.07%, 8.01%
   QckSort (n=2500),312171,313933,100946,36,2365,1.01,0.0%,7.5e-03,0.000214,8.1%,4.5%,6.8%,4.9%,1.91%, 8.63%
   QckSort (n=2600),332205,327924,104039,39,2493,0.99,0.0%,7.6e-03,0.000238,9.6%,5.3%,6.0%,21.3%,3.31%, 17.92%
   QckSort (n=2700),347917,336612,108454,39,2516,0.97,0.0%,7.5e-03,0.000240,6.1%,4.1%,6.3%,23.0%,2.79%, 12.30%
   QckSort (n=2800),349411,354147,113149,37,2521,1.01,0.0%,7.1e-03,0.000233,6.0%,3.3%,4.5%,14.3%,1.93%, 6.57%
   QckSort (n=2900),382533,368681,118162,40,2577,0.96,0.0%,7.0e-03,0.000255,4.7%,2.9%,3.9%,17.3%,1.55%, 6.60%
   QckSort (n=3000),390184,380815,121958,42,2643,0.98,0.0%,6.9e-03,0.000259,6.9%,3.9%,6.7%,18.0%,1.81%, 9.35%
