Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   InsSort (n=10000),76177353,225363935,50112791,136294,10101,2.96,0.3%,4.5e-05,0.051011,0.7%,0.8%,0.8%,1.2%,0.25%
   InsSort (n=11000),92848513,274711155,61081758,176668,11092,2.96,0.3%,4.0e-05,0.052063,0.5%,0.4%,0.4%,0.8%,0.10%
   InsSort (n=12000),109718930,324548539,72160024,214722,12109,2.96,0.3%,3.7e-05,0.061560,0.7%,0.7%,0.7%,1.0%,0.07%
   InsSort (n=13000),128628245,380409731,84577146,261152,13102,2.96,0.3%,3.4e-05,0.072217,0.4%,0.4%,0.4%,0.8%,0.03%
   InsSort (n=14000),148677604,439831032,97785083,296019,14118,2.96,0.3%,3.2e-05,0.083506,0.7%,0.7%,0.7%,0.9%,0.09%
   InsSort (n=15000),171671851,507932931,112922734,335235,15115,2.96,0.3%,3.0e-05,0.097097,0.5%,0.5%,0.5%,0.9%,0.04%
   InsSort (n=16000),194621906,576019955,128056430,373736,16129,2.96,0.3%,2.8e-05,0.110280,0.2%,0.2%,0.2%,0.5%,0.08%
   InsSort (n=17000),220352243,652232780,144996088,428626,17128,2.96,0.3%,2.6e-05,0.124125,0.3%,0.3%,0.3%,0.6%,0.06%
   InsSort (n=18000),245588436,727108635,161638164,474978,18136,2.96,0.3%,2.5e-05,0.138003,0.5%,0.5%,0.5%,0.9%,0.03%
   InsSort (n=19000),275665817,816302797,181462749,524486,19135,2.96,0.3%,2.3e-05,0.154913,0.4%,0.4%,0.4%,0.5%,0.09%
   InsSort (n=20000),303116981,897144031,199430860,570014,20152,2.96,0.3%,2.2e-05,0.170636,1.1%,1.0%,1.0%,1.3%,0.05%
   BubSort (n=10000),400159087,350035373,149963277,232845,10037,0.87,0.2%,2.9e-05,0.224606,0.0%,0.0%,0.2%,0.4%,0.03%
   BubSort (n=11000),484575991,423538873,181763997,289916,11034,0.87,0.2%,2.6e-05,0.272641,0.1%,0.0%,0.3%,0.6%,0.03%
   BubSort (n=12000),576414489,504042373,216413249,351604,12034,0.87,0.2%,2.4e-05,0.325337,0.0%,0.0%,0.1%,0.4%,0.06%
   BubSort (n=13000),676412923,591545873,253588214,418996,13032,0.87,0.2%,2.2e-05,0.379847,0.0%,0.0%,0.1%,0.2%,0.03%
   BubSort (n=14000),784397476,686049373,293947068,487552,14052,0.87,0.2%,2.0e-05,0.441226,0.0%,0.0%,0.1%,0.3%,0.06%
   BubSort (n=15000),900452237,787552873,338045086,557974,15032,0.87,0.2%,1.9e-05,0.503852,0.0%,0.0%,0.1%,0.2%,0.04%
   BubSort (n=16000),1024635606,896056373,383847105,632558,16036,0.87,0.2%,1.8e-05,0.573389,0.0%,0.0%,0.1%,0.1%,0.04%
   BubSort (n=17000),1157055712,1011559873,432969713,713552,17038,0.87,0.2%,1.7e-05,0.653023,0.0%,0.0%,0.2%,0.3%,0.04%
   BubSort (n=18000),1299317888,1134063373,486128914,787699,18128,0.87,0.2%,1.6e-05,0.762882,0.3%,0.0%,0.1%,0.4%,0.71%
   BubSort (n=19000),1448974450,1263566873,541289277,878920,19509,0.87,0.2%,1.5e-05,0.930641,0.2%,0.0%,0.1%,0.2%,3.17%
   BubSort (n=20000),1614971851,1400070373,599838009,966544,21089,0.87,0.2%,1.5e-05,1.496348,0.2%,0.0%,0.1%,0.4%,1.68%
   QckSort (n=10000),1358628,1483111,450108,334,9784,1.09,0.1%,6.6e-03,0.001610,9.6%,5.4%,3.9%,21.6%,5.56%
   QckSort (n=11000),1329439,1642866,505046,411,10543,1.24,0.1%,6.4e-03,0.002932,18.0%,3.4%,2.3%,26.0%,4.35%
   QckSort (n=12000),1453552,1797244,570094,406,10913,1.24,0.1%,6.1e-03,0.001471,13.0%,3.0%,3.5%,18.5%,1.73%
   QckSort (n=13000),1452869,1925726,607771,470,11447,1.33,0.1%,5.9e-03,0.001592,19.8%,2.1%,3.0%,22.4%,1.06%
   QckSort (n=14000),1597973,2151755,670143,547,12062,1.35,0.1%,5.6e-03,0.002987,15.5%,3.3%,5.0%,6.9%,0.79%
   QckSort (n=15000),1962068,2343682,730193,499,12707,1.19,0.1%,5.4e-03,0.001205,27.4%,3.6%,2.7%,15.8%,0.98%
   QckSort (n=16000),1940736,2545622,805326,729,13532,1.31,0.1%,5.3e-03,0.003022,15.5%,3.6%,4.4%,16.9%,1.31%
   QckSort (n=17000),1920643,2664752,826136,677,14213,1.39,0.1%,5.3e-03,0.001190,6.6%,1.4%,3.3%,18.7%,0.28%
   QckSort (n=18000),2039335,2859843,880925,612,14860,1.40,0.1%,5.2e-03,0.001716,18.1%,2.9%,3.7%,9.1%,0.88%
   QckSort (n=19000),2260273,3005226,936403,700,15472,1.33,0.1%,5.1e-03,0.001363,13.9%,1.8%,4.8%,8.6%,0.93%
   QckSort (n=20000),2612699,3219677,986233,902,16342,1.23,0.1%,5.1e-03,0.005072,17.6%,4.0%,3.4%,7.5%,1.48%
